region_list,model_name,area,BGC_GPP,model_log10ratio,burke_growth_log10ratio,burke_level_log10ratio,newell_growth_log10ratio,newell_level_log10ratio
Afghanistan,ACCESS-ESM1-5,651317966848.0,0.6436812391496785,0.023440519427157115,-0.7628895289013921,-0.06902608120678212,0.011942666500312681,-0.04209553123255649
Algeria,ACCESS-ESM1-5,2318777780224.0,0.06747543742458893,-0.24919442846213896,-10.038900225684555,-0.7865937650367973,-1.120637789808867,-0.751993565012867
Angola,ACCESS-ESM1-5,1187172648960.0,5.807509666350504,-0.10209555331441492,-7.063543352917438,-0.15566994248723046,-0.02242091067201815,-0.12750689547351013
Argentina,ACCESS-ESM1-5,2772663044096.0,3.969516016901172,0.009297741305866926,-1.8465747987087107,-0.1341173291724562,-0.07524743757535689,-0.10916118839572411
Armenia,ACCESS-ESM1-5,43972747264.0,4.214123203905144,0.03307529791715604,-0.39362471688419887,-0.0034959097943435967,-0.10935653817474536,-0.017974261051924505
Australia,ACCESS-ESM1-5,7637787572224.0,1.6388056157455415,-0.20373035018998384,-8.325471204110222,-0.21019121402560503,-0.3714802287011764,-0.16820148034772522
Austria,ACCESS-ESM1-5,58244466688.0,5.534849049500069,0.026858869975501107,-0.9026232042663854,-0.0011595522514570601,-0.22861219219721124,0.013642480531172561
Azerbaijan,ACCESS-ESM1-5,110538563584.0,3.076281843757316,0.01430056695155296,-1.385211016208595,-0.04016614670409036,-0.17725498184759864,-0.01820398807067173
Bangladesh,ACCESS-ESM1-5,132556541952.0,5.081736007435869,-0.11380924262451712,-6.04363774156388,-0.1371494077867265,0.11434489463862818,-0.08020422018570586
Belarus,ACCESS-ESM1-5,206042311680.0,4.106146585414101,0.051231159770288213,-0.5701337795482591,-0.012504090206547226,-0.04275687338228991,-0.0025148476378780726
Belgium,ACCESS-ESM1-5,36754255872.0,4.33932807463303,0.020271989826944375,-1.5690474360181117,-0.016256542249878995,-0.19470535274328643,-0.0032905547409795826
Benin,ACCESS-ESM1-5,114297284608.0,5.660820767308591,-0.14743698746197723,-7.646898082973052,-0.27762972739579006,-0.05381173197994299,-0.16645555364307307
Bhutan,ACCESS-ESM1-5,25696493568.0,4.551514547755725,0.04229151612859713,-0.45008184547664326,-0.045835282346125925,0.09833114372032575,-0.013922748769010892
Bolivia,ACCESS-ESM1-5,1109008766976.0,7.655818754715499,-0.04200020978628644,-5.632544233589864,-0.1808177212184378,-0.13542389833865906,-0.1627107876256929
Bosnia and Herz.,ACCESS-ESM1-5,82822852608.0,4.72927858058131,-0.03009525848997835,-3.1610935456668865,-0.057889591412411665,-0.5328536552603504,-0.027417150608190083
Botswana,ACCESS-ESM1-5,536187693056.0,3.226796214743525,-0.27174438380225846,-8.03453335061284,-0.33611294224247945,-0.6086701141040474,-0.32444922579540636
Brazil,ACCESS-ESM1-5,8514186184704.0,7.478844045316912,-0.19499554530753563,-8.163826254191306,-0.2657944587764252,-0.2554077933931465,-0.17634745562286802
Bulgaria,ACCESS-ESM1-5,126424346624.0,4.348981345699793,-0.07268046491704801,-3.4594250666032433,-0.045594941183819716,-0.8010552488489875,-0.026062610588351277
Burkina Faso,ACCESS-ESM1-5,283180355584.0,2.3120681419045765,-0.4110637361498655,-8.55973091086288,-0.3576699972228948,-0.1562321454120718,-0.20019587797958247
Burundi,ACCESS-ESM1-5,57849927680.0,8.90142298388671,-0.03362644155075341,-6.2126887506077555,-0.16611265056426563,0.048205621131763444,-0.13613067854969063
Cambodia,ACCESS-ESM1-5,197680961536.0,7.8206218112023596,-0.14751106348271822,-7.84213784700159,-0.27254675056524086,-0.18640130469700789,-0.18531024812986197
Cameroon,ACCESS-ESM1-5,489540296704.0,9.237503591270686,-0.06100561888113391,-6.434630297101688,-0.21356828043511614,0.008230869558262582,-0.15596208169505732
Canada,ACCESS-ESM1-5,9490340350720.0,1.5855787659166038,0.13682418916659508,8.189002589408057,0.19401292123248934,0.4248086603103911,0.12494503871049734
Central African Rep.,ACCESS-ESM1-5,604192858112.0,8.293002554826622,-0.13746567922102887,-7.105966014180745,-0.23424813335720443,-0.011951781498630866,-0.1767821622693482
Chad,ACCESS-ESM1-5,1199705507840.0,1.4302498615710253,-0.3308262248844693,-5.697530386785514,-0.27159120918421215,0.0889553991571042,-0.17604472017502332
Chile,ACCESS-ESM1-5,679387699200.0,2.8944749353734545,0.0056241523732959015,-1.742248239391989,-0.0746011043469835,-0.4642266511524815,-0.07012247356319035
China,ACCESS-ESM1-5,9321888147456.0,2.691362181792284,0.02813099592274121,0.8143348786624227,0.00797686202479625,0.07789554822158178,0.009417690157192054
Colombia,ACCESS-ESM1-5,1067269642240.0,10.336705594202934,-0.07674263535714103,-6.594391397603087,-0.23510533123124777,-0.2769266899823985,-0.1840822206606828
Congo,ACCESS-ESM1-5,289470179328.0,9.861288690500478,-0.08408530115439834,-6.737943227577345,-0.20151878844994967,-0.014982816031710516,-0.1536038698955746
Costa Rica,ACCESS-ESM1-5,28529647616.0,5.032667262644286,-0.3105489317058313,-9.260310383437695,-0.3580335677020062,-0.8124028815264646,-0.38638100565596034
Croatia,ACCESS-ESM1-5,20032968704.0,5.600679854636775,-0.009778464269871221,-2.3557183754149276,-0.04589576331277147,-0.29297032468072143,-0.02075957625370848
Cuba,ACCESS-ESM1-5,53764618240.0,2.0435498213931114,-0.4856716883017306,-10.048570870104134,-0.3629501168436471,-0.5174069187213818,-0.30335807068359133
Czechia,ACCESS-ESM1-5,74965301248.0,5.301983124986394,0.012065481278042408,-1.3699073138026738,-0.017069142170560353,-0.3787375215294014,-0.01247171502969651
Côte d'Ivoire,ACCESS-ESM1-5,344375113728.0,7.5827350402621745,-0.0985118462330091,-7.136313851933938,-0.22952423341153466,-0.045238983329964,-0.15941876333289468
Dem. Rep. Congo,ACCESS-ESM1-5,2366042300416.0,9.6172381251472,-0.07569211041347682,-6.80372557800684,-0.19702725802578194,0.008277682728170992,-0.15739379104041784
Denmark,ACCESS-ESM1-5,32711108608.0,2.396650299903076,0.052705172447066885,-0.7055680292974478,-0.00587177799333771,-0.01935940896060248,-0.00473237143094965
Dominican Rep.,ACCESS-ESM1-5,54864683008.0,3.859744333484044,-0.8426789535605415,-10.809497882030204,-0.28350034595477774,-0.4606011716361861,-0.25747517028971467
Ecuador,ACCESS-ESM1-5,260583120896.0,12.193681154803073,-0.012406278953003502,-5.681127343816791,-0.1600048531737349,-0.20069805069975355,-0.1481395891368047
El Salvador,ACCESS-ESM1-5,56279101440.0,3.1311055547071396,-0.7556269544584947,-10.375281598018068,-0.3730128386651539,-0.740642644420269,-0.34848621759348564
Eq. Guinea,ACCESS-ESM1-5,28962869248.0,13.486352977017585,-0.038340545673205655,-5.870283932739259,-0.1747601229659891,0.007815454277732496,-0.10886108481181857
Eritrea,ACCESS-ESM1-5,83777703936.0,0.4364300313149737,-0.34684787099256315,-5.353196947658077,-0.21690252573739463,0.03603750449722682,-0.14126557621423683
Estonia,ACCESS-ESM1-5,45086211072.0,3.6740728119896953,0.07826202913276417,1.0483923149736656,0.0035322848671965755,0.03698637082174379,0.009786003393944726
Ethiopia,ACCESS-ESM1-5,1087389687808.0,4.051273570565745,-0.03391934050214105,-5.627391318440382,-0.15284211368587763,0.04809891275314056,-0.12487250442387798
Finland,ACCESS-ESM1-5,287619184640.0,1.9075739716210773,0.1896635163033275,4.309181177986147,0.0889713546310894,0.3972462234161411,0.07858117786879647
France,ACCESS-ESM1-5,613312010240.0,5.705141915729831,-0.10402843470535177,-4.337205779586993,-0.07919177623935958,-0.9698690208012126,-0.05434633453813455
Gabon,ACCESS-ESM1-5,231702956032.0,11.668125912267932,-0.020400920018029355,-6.391423117429275,-0.17825882596625778,-0.013747156762773965,-0.1310993244483542
Georgia,ACCESS-ESM1-5,42717499392.0,6.492437186275708,0.029538047469673766,-0.6027178840108673,-0.020796677151381227,-0.08483433161145981,-0.030940572980404465
Germany,ACCESS-ESM1-5,345336431616.0,4.320862934136658,0.03091110461446281,-1.2398316411636334,-0.013801099935987158,-0.2393022900285215,-0.012965013697503983
Ghana,ACCESS-ESM1-5,229363490816.0,6.5629713546277735,-0.1066130522229987,-7.481114251445759,-0.2638241724299505,-0.05355383785909553,-0.15501756598074706
Greece,ACCESS-ESM1-5,133521821696.0,3.650060618082537,-0.10615902122600203,-4.676148300758244,-0.09396160812553607,-0.845827159379247,-0.0641204193469542
Guatemala,ACCESS-ESM1-5,111406657536.0,6.588367842223967,-0.6976421545796629,-12.29456986135654,-0.383702692186723,-0.6797852466660501,-0.3546627468724773
Guinea,ACCESS-ESM1-5,256465876992.0,5.368018503605195,-0.24320134492578294,-8.708965385600285,-0.3304177910665584,-0.613061145177736,-0.2575643180506192
Guinea-Bissau,ACCESS-ESM1-5,56696180736.0,1.6182711600680375,-0.3378173756067756,-11.535753392862471,-0.38163252015899285,-0.7325509006160023,-0.2894692562171868
Guyana,ACCESS-ESM1-5,173026529280.0,10.94757651731171,-0.4519291982155445,-11.173713041537784,-0.28848829293635675,-0.7230330150498179,-0.2616916247139176
Honduras,ACCESS-ESM1-5,83947929600.0,7.003358066426443,-0.9318928348073,-11.985149747852049,-0.36020473703601275,-0.595535389796986,-0.35003023028440283
Hungary,ACCESS-ESM1-5,98780999680.0,4.7023506147938745,-0.05463020556299509,-2.7249079929237423,-0.06552428876386529,-0.2681631176690529,-0.040504030138267685
Iceland,ACCESS-ESM1-5,74598592512.0,0.1937868209102281,0.24504237717342323,4.977447729501364,0.09920829880262323,0.395643260521455,0.04487124484674045
India,ACCESS-ESM1-5,3104877590528.0,2.1210307913117,-0.11593889915878894,-5.267092606161432,-0.1487595045587897,0.07813425571182217,-0.12139191290780088
Indonesia,ACCESS-ESM1-5,1647660505088.0,10.167625805480725,-0.03398212821829701,-6.008252812951038,-0.1460068759334955,-0.0799679277803893,-0.08485767466902913
Iran,ACCESS-ESM1-5,1531914565632.0,0.3880186040420224,-0.04061952217560309,-1.926602910865452,-0.04893532264244559,0.030259611148231495,-0.028336555875431477
Iraq,ACCESS-ESM1-5,436820516864.0,0.42586332483975037,-0.07939599396178203,-3.6896640329427104,-0.1001922473064295,-0.03414992010475096,-0.08654645237780428
Ireland,ACCESS-ESM1-5,86147919872.0,3.871991241692324,0.04506237004391628,-1.0378891917883852,-0.0016072190153829998,-0.10520017885557015,0.0037177008996727087
Italy,ACCESS-ESM1-5,207811258368.0,4.351328040252992,-0.05948946391424458,-3.565347136597802,-0.08641619525862708,-0.844041192584035,-0.06587648404000872
Japan,ACCESS-ESM1-5,276059146240.0,4.737694690850317,0.028656013530863902,-1.9956365231474331,-0.07079968347434341,-0.2309849686565008,-0.06675043092186511
Kazakhstan,ACCESS-ESM1-5,2636373197824.0,0.9712846802565739,0.04236203989586604,1.0817637338217523,-0.04928957992924156,0.06802906075068288,-0.024528644411699687
