region_list,model_name,model_cumulative,burke_growth,burke_level,newell_growth,newell_level
Afghanistan,ACCESS-ESM1-5,7.795781584093042,-95.91048600424014,-18.186743474607013,0.998068478550429,-12.18877899111605
Algeria,ACCESS-ESM1-5,274.4422854145364,-99.99999999999596,-6.837378525037829,-52.733562521842686,-5.409781821905119
Angola,ACCESS-ESM1-5,-38.63686325984458,-99.99999999699473,-44.74040764244326,-22.34105483300511,-40.95236504843753
Argentina,ACCESS-ESM1-5,15.135226662512258,-99.6913097309749,-19.975726703443353,-8.104007284002273,-14.203637713301998
Armenia,ACCESS-ESM1-5,3.4088044580686594,-72.14130168654584,-10.857409598633316,-23.094129767434893,-9.442601064021572
Australia,ACCESS-ESM1-5,-34.29489796694297,-99.99999999997921,-32.006327345209776,-55.41612536872633,-27.245981641207003
Austria,ACCESS-ESM1-5,-3.7884769297297005,-93.54169921709322,-7.652779239120999,-51.524694723359104,-6.161021319774562
Azerbaijan,ACCESS-ESM1-5,12.234010078696178,-98.79558623210683,-9.416853237741417,-35.11522905910012,-1.6675741802078536
Bangladesh,ACCESS-ESM1-5,-23.49097735803276,-99.99999979114264,-32.08686679911901,43.77417722527396,-22.53364961627764
Belarus,ACCESS-ESM1-5,0.606330325132598,-81.12480633307374,-9.485619193445306,-1.242158740694621,-8.034227907533964
Belgium,ACCESS-ESM1-5,-3.1781816161028598,-99.15394359570449,-11.202549057927037,-50.837681500342086,-9.43934619048653
Benin,ACCESS-ESM1-5,-17.276270884946353,-99.99999999865449,-40.94657442299224,4.368656994546627,-23.987117004628452
Bhutan,ACCESS-ESM1-5,6.150486877742134,-88.99256147797804,-16.540105088066635,30.88479844510553,-5.2067579391943175
Bolivia,ACCESS-ESM1-5,-8.033658451815363,-99.99999887572764,-36.206712885265716,-24.561264787377752,-33.461715993358965
Bosnia and Herz.,ACCESS-ESM1-5,-18.305529530870846,-99.99390020025814,-21.247213642913344,-76.14066868890046,-14.808116905317025
Botswana,ACCESS-ESM1-5,36.5028726276372,-99.99999999983397,-16.725440527789104,-33.82610999848994,-11.935442668559066
Brazil,ACCESS-ESM1-5,-32.10180716860703,-99.99999999992113,-46.764777614161936,-47.240908410947085,-34.29945546330704
Bulgaria,ACCESS-ESM1-5,-25.603003876297226,-99.99765883651557,-26.79649275926136,-88.01439227885727,-20.952378464174426
Burkina Faso,ACCESS-ESM1-5,-44.6414529607377,-99.9999999999855,-48.285184912858234,-8.198721731688856,-24.483892839868567
Burundi,ACCESS-ESM1-5,-6.56216136542308,-99.99999987575711,-29.401537600893167,15.50048775944688,-27.070389203349997
Cambodia,ACCESS-ESM1-5,-9.796444691492901,-99.99999999934609,-33.404005555538696,-31.098218325897456,-18.47532364476131
Cameroon,ACCESS-ESM1-5,-7.441843174293727,-99.99999991698941,-38.29030202179213,14.185275415135889,-28.40527465635297
Canada,ACCESS-ESM1-5,27.825301652327994,93928562600.32771,48.32628086929447,176.27712751416016,24.120725571990363
Central African Rep.,ACCESS-ESM1-5,-20.860001345225378,-99.99999999355978,-41.038956869854296,2.829502910012316,-30.98375868841015
Chad,ACCESS-ESM1-5,-48.56001556090593,-99.99999978759402,-42.93937610938953,36.561022621927535,-26.678032970009713
Chile,ACCESS-ESM1-5,7.52776121885308,-99.56972404069776,-9.889170863890051,-70.40979141900803,-8.19543093767835
China,ACCESS-ESM1-5,2.689154589855325,575.5490993211824,-3.126951877423323,12.871861779086814,-2.8061137605486506
Colombia,ACCESS-ESM1-5,-12.389257709820267,-99.99999996062202,-39.84454381857844,-50.4068594495384,-33.838693324605885
Congo,ACCESS-ESM1-5,-21.220234511339655,-99.9999999821453,-41.74795386164355,-2.285718602910997,-33.67608240797732
Costa Rica,ACCESS-ESM1-5,-84.62110168987674,-100.0,-69.31232195368034,-91.14912266789545,-70.91242782587288
Croatia,ACCESS-ESM1-5,-15.5794128950555,-99.93800717870057,-19.881360767690094,-62.82012120688931,-17.83572469821378
Cuba,ACCESS-ESM1-5,-76.32889537483955,-99.99999999999993,-45.43769427357262,-62.26325987295007,-40.87320757293399
Czechia,ACCESS-ESM1-5,-7.762814649311411,-98.22271484916891,-8.054360969904417,-59.73360552103786,-7.84795554060484
Côte d'Ivoire,ACCESS-ESM1-5,-14.385794730730339,-99.99999999319071,-35.98297426479553,-3.0524623570077902,-26.62069337841782
Dem. Rep. Congo,ACCESS-ESM1-5,-14.564437166988075,-99.99999998186733,-36.904251859389525,6.104351382420625,-32.08044998657665
Denmark,ACCESS-ESM1-5,3.5323436502885164,-88.68088552200705,-8.598072275435808,-7.010994752707623,-7.695256186429573
Dominican Rep.,ACCESS-ESM1-5,-92.79916777114956,-100.0,-46.255202811564885,-68.96974498301037,-48.12128919672554
Ecuador,ACCESS-ESM1-5,-0.4773861471676799,-99.99999875178503,-29.774787335776953,-41.17337401679464,-29.666078487698577
El Salvador,ACCESS-ESM1-5,-87.96009776449208,-100.0,-56.08726473076153,-83.64634747281647,-53.58369546195413
Eq. Guinea,ACCESS-ESM1-5,-5.8754575619403,-99.99999939777985,-33.085014731459886,9.399121597536052,-22.070604120417663
Eritrea,ACCESS-ESM1-5,-59.086930147722306,-99.99999990973228,-44.23349712518084,6.120446207011443,-29.630265822703866
Estonia,ACCESS-ESM1-5,12.55647694318105,1599.1257802167706,-4.761770661729548,9.740707916839863,-2.8796232271283473
Ethiopia,ACCESS-ESM1-5,-11.54851486662447,-99.9999991381497,-34.86155866596926,7.212387533064857,-30.832847787408532
Finland,ACCESS-ESM1-5,44.23982493117249,8034440.399419714,14.785238220999531,189.00348377978708,15.193493974270211
France,ACCESS-ESM1-5,-23.680767435569706,-99.99985305225705,-16.219032706409763,-92.26003273542172,-12.838873155967534
Gabon,ACCESS-ESM1-5,-5.344446385856372,-99.9999999179953,-36.64552204425334,-0.4581961045240057,-29.64860008384929
Georgia,ACCESS-ESM1-5,1.6607676066421106,-86.75697244520273,-14.309059472884112,-28.433971973636673,-18.416334632000886
Germany,ACCESS-ESM1-5,-4.590924399222374,-97.55013721951639,-8.974201206905153,-49.13626011401735,-8.241433135813036
Ghana,ACCESS-ESM1-5,-10.019061525980133,-99.99999999751601,-38.16053658081023,2.598199242290977,-22.139480269700822
Greece,ACCESS-ESM1-5,-22.20783917894581,-99.99995623430388,-27.750503560933957,-90.00308836914974,-20.449985668803055
Guatemala,ACCESS-ESM1-5,-77.5310570344744,-100.0,-51.932350505476485,-75.43135099153724,-49.87234818714249
Guinea,ACCESS-ESM1-5,-41.541689591429034,-99.99999999997917,-44.10665621119897,-76.57024789172675,-37.874754758374806
Guinea-Bissau,ACCESS-ESM1-5,-64.25799492647421,-100.0,-59.972672396787004,-84.1031291676806,-57.68242543207019
Guyana,ACCESS-ESM1-5,-67.48458107025866,-99.99999999999999,-44.42770240697816,-84.15965718304129,-45.16009503490933
Honduras,ACCESS-ESM1-5,-93.79574636035078,-100.0,-48.120553184881906,-77.60699264706213,-51.15064853445775
Hungary,ACCESS-ESM1-5,-22.992079912106078,-99.97142933026325,-21.013917142704496,-63.53018488503847,-16.44507511285071
Iceland,ACCESS-ESM1-5,89.39804471706046,44704629.01735566,17.296964673926652,155.51984832610378,11.004139518302004
India,ACCESS-ESM1-5,-19.179862586641573,-99.99999689980312,-28.68693032934785,35.98742124135875,-22.51882128631003
Indonesia,ACCESS-ESM1-5,-5.825214281425106,-99.99999943202225,-27.64986051148879,-21.68242600553661,-20.29619158348566
