years,model_name,model_cumulative,burke_growth,burke_growth_5,burke_growth_25,burke_growth_75,burke_growth_95,burke_level,burke_level_5,burke_level_25,burke_level_75,burke_level_95,newell_growth,newell_growth_5,newell_growth_25,newell_growth_75,newell_growth_95,newell_level,newell_level_5,newell_level_25,newell_level_75,newell_level_95
2016,ACCESS-ESM1-5,-1.545746527833325,0.004729845687201362,-0.3787402053973876,-0.16770240215632226,0.19007151828425162,0.5054950795766233,0.457189397536939,0.23976443717286244,0.36576701753374685,0.532673954514884,0.647621214086791,-0.06549613599156068,-1.4329204701211262,-0.7567438377727664,0.8852652063302768,2.9872950825894393,0.4074644957842266,-0.7360646430130324,-0.058212383566069725,0.8558896559551554,1.8028366232502435
2017,ACCESS-ESM1-5,-1.8344566202592727,-3.346433310752117,-4.3763334490835915,-3.7677423177925884,-2.8404754714516423,-2.161008706219436,-2.8713823173110553,-3.326184487412076,-3.0403901508812226,-2.6810934153668198,-2.4375270840917396,-1.9293132200961294,-7.071511747308321,-3.0099749853450763,-1.3940441451563812,1.0608772827166897,-2.28883109811312,-3.0507608119472485,-2.7119279693718634,-1.3400212386396437,-0.5444058373370608
2018,ACCESS-ESM1-5,-2.7756035129256063,-7.722290825103261,-9.383784248685245,-8.434663494537386,-6.875132886801849,-5.850524303699656,-3.747219912445987,-4.247181342414419,-3.9218164067405636,-3.5348108571985226,-3.2526585120100204,-4.037892143384402,-12.663125764500924,-5.884949278539753,-3.1656552142200534,0.06524541383278544,-3.500250273529193,-5.052087598859655,-4.390991830072366,-2.920216789556629,-1.241337582724167
2019,ACCESS-ESM1-5,2.4362322332563524,-8.634171386066726,-10.738644750680981,-9.528270910838565,-7.588508424487905,-6.251393739451904,-1.4486008132073458,-1.860645646912129,-1.604734113522055,-1.3081561555273291,-1.102862239139124,-2.097221045445108,-16.73702735665394,-6.040018699539996,-1.0557203510330404,1.6730508134453048,-1.474708286872306,-3.282826492207769,-2.632765986644847,-1.176005423613835,0.8413112918762167
2020,ACCESS-ESM1-5,2.9094312787354415,-7.918854795203389,-10.678650959633618,-9.088002168489462,-6.575374593321593,-4.79135451471695,0.3019695214679263,-0.10938924145128537,0.14080277108725614,0.43696790128522345,0.664915614538808,-0.036543997851529175,-19.04391131170371,-5.15019905687063,1.98673374734748,5.560110904980332,0.3196449749721664,-1.5323253138062642,-0.8538758853549044,0.9631269925333807,1.3679632533662334
2021,ACCESS-ESM1-5,1.0742808706185158,-10.307974207695914,-13.695771631624531,-11.730668566979984,-8.66171440192539,-6.4175327483563915,-2.4198884719527247,-2.8871527404450537,-2.6087509019471655,-2.231183112985491,-1.9768660574844055,-0.7949661823306087,-23.543546700315673,-6.625158392865515,0.6770626453644013,4.314576568799547,-1.896650378594511,-3.0937277745855063,-2.4864948900343298,-1.0129105455980891,-0.09537941311348558
2022,ACCESS-ESM1-5,5.257542385432545,-4.9838121945089515,-9.022129516272459,-6.76383122620039,-2.948023517629861,0.01964783691306149,5.137739702120148,4.432029968179174,4.832110839003145,5.420356211170851,5.816383822130966,2.8680960018105384,-22.767603044594946,-4.082806327212141,7.336319226237786,12.200197769597523,3.1485075745306013,0.7342256439729322,2.211118148787383,4.190582629769457,6.1085090178715475
2023,ACCESS-ESM1-5,2.719998392563805,-5.22890286059191,-9.920965209930477,-7.249426480932087,-2.9159911901099456,0.4819180348238028,-0.7683436921016584,-1.2275218096174156,-0.954445776424484,-0.6115020841636176,-0.3751496079653416,3.0380715781193612,-25.40360225538333,-3.4748287198546945,5.840187591046919,11.519775255099294,1.0028220942061683,-2.1121787338103437,-0.4186975502169177,2.8180302647552224,3.1888463655284127
2024,ACCESS-ESM1-5,0.03132663127640711,-7.26591217067547,-12.606805712106627,-9.57133637526396,-4.6072829597275655,-0.6179591980904009,-2.106890855338339,-2.5185725500679768,-2.2571813350268033,-1.923946877490501,-1.6945631035938935,0.6840408867954451,-29.280680707366894,-4.842694675170733,3.7197953448218968,10.672233874169763,-0.6169495197569097,-2.460326928384211,-1.6146750763601725,-0.030016566932578037,0.7165649784991367
2025,ACCESS-ESM1-5,-0.262632546893371,-7.616491230079014,-13.547863668152349,-10.218307708067275,-4.5713127808672755,-0.11856986718333795,0.07928113608401954,-0.24726350850958756,-0.04864712286851702,0.2011261933704489,0.3765338938708007,-0.06338895436046044,-31.8925804292865,-6.014092478732092,3.8216987042372086,12.726104024942599,-0.5399303982443926,-1.9345358197616846,-1.1258196894823547,-0.04737827544158968,0.24428698064157464
2026,ACCESS-ESM1-5,-3.965561594511413,-10.728809085614566,-17.384280687270614,-13.629772729175361,-7.426854147913575,-2.6595889669467243,-4.476524147823757,-5.412430967086546,-4.846008413160774,-4.111085688100213,-3.5570181469744333,-0.08145999567009676,-37.05462400146466,-5.838847441646166,1.6240509947760273,10.217205543591586,-3.3260379972383847,-6.54580381839077,-4.198941526010758,-0.5509355430387775,1.1001712940052366
2027,ACCESS-ESM1-5,-2.384122861773552,-13.864371678456799,-20.96601911933693,-17.01563345546172,-10.302825461093123,-5.055496682469118,-3.0178276086138323,-3.493406001074306,-3.2101230227580158,-2.799400728186263,-2.531464221995716,-1.629940922059303,-40.80279153430337,-8.500210961481503,1.2578982013073503,11.930601683914785,-2.942031507684184,-5.8872340578476345,-3.882560313822192,-2.0632838137890186,-0.761072163715757
2028,ACCESS-ESM1-5,0.29135812655805005,-13.487919815911898,-21.292996479254267,-16.918397865829814,-9.590381065659049,-3.7823591797020883,-0.5954901305622151,-1.1686639757790496,-0.8268062187435476,-0.39131661207171264,-0.0969839740124323,1.0638008977169267,-43.558186494066554,-7.007442750821246,4.903417531184995,15.026774940297232,-0.7669179128324155,-5.010982560671147,-1.388605061959336,0.06195368614165808,1.703257833110774
2029,ACCESS-ESM1-5,-3.0342168510424483,-18.962444436966486,-27.303074970699715,-22.414541226477457,-14.791130105639771,-8.88390655294523,-7.18037936711341,-8.476817580704365,-7.662199046496254,-6.697783997899542,-5.9480941679347925,-1.387520491870159,-49.11626222166956,-10.43084819929586,0.9293392113904231,12.936486110994101,-5.499376261817063,-10.003917637532783,-6.806940182063881,-0.948655999296022,0.7258639826612967
2030,ACCESS-ESM1-5,-5.89788165819547,-25.595431709615657,-34.154424944583106,-29.05627573166224,-21.401990223343205,-15.524112152641456,-8.853806746041236,-10.245786760560938,-9.366694648509988,-8.327842014479058,-7.5163836448993155,-4.071525535338322,-54.1826256944894,-14.185202330882717,-1.1275553605527788,12.291461812114902,-7.48648699218144,-13.407040347963893,-9.720828527170033,-2.4394825301197853,-0.41994289180824934
2031,ACCESS-ESM1-5,-3.1299440060248873,-28.584883487980072,-37.37625973589744,-32.16616970220756,-24.276780359664187,-18.12700063014224,-3.9410129602110433,-4.646316136400841,-4.201048391630557,-3.6721895009931727,-3.269500312480289,-2.7478733974140743,-57.424014037607385,-16.229207644093613,0.11166390209649268,15.375597823998518,-3.650186285003476,-9.302461464335588,-6.930287054598416,-2.4049686854836994,-0.24101269224263486
2032,ACCESS-ESM1-5,2.7369451085326846,-28.10110183460719,-37.49111733153793,-31.96002841969081,-23.426677226702274,-16.658720358188905,-0.33843916456395284,-0.945905856714846,-0.5835120345756062,-0.10552898754420115,0.20918281941206818,-0.06183188986987331,-58.698680770560564,-15.912263722604614,6.574745883723843,19.48488254667716,-0.8016093924365753,-5.770173065553621,-2.3017461997433375,0.32147865702554235,1.9192115522972886
2033,ACCESS-ESM1-5,1.7086697478571722,-29.717723480919144,-39.482057321267064,-33.70806197182945,-24.817561426295775,-17.746996869020236,-2.4781295678971027,-3.0159767190833464,-2.6984644672501723,-2.255305757655479,-1.9358742140594631,0.2559081441367739,-61.088604977207325,-16.881618214939685,8.10793896314812,21.153448391331082,-1.7784942381565305,-5.202133039985641,-2.3739097913495377,-0.7079547388431418,0.8623368984710608
2034,ACCESS-ESM1-5,1.8742123450192105,-31.443668863653507,-41.59526850998291,-35.62266437404633,-26.381874118648906,-18.817359938284774,-3.457901009992126,-4.221343789480436,-3.757821705026454,-3.1366100426019283,-2.699987329715514,1.1938289120306256,-63.39811260582617,-16.929204656135845,8.070191329410004,23.949786411009775,-2.288952875410116,-6.961100466864208,-3.029483981515535,-0.40045853903498685,1.6288710279374863
